osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,geometry
34557146,-15.7966181,-47.8772364,3,3,0.008670568466186523,3.868322308614754e-05,4.528892278671265,35176.36666666678,20.506722688674927,0.07425868287712434,15.579079627990723,3.3813133997596028,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,3,0.008670568466186523,3.866228494104002e-05,4.528892278671265,4942.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.498792068749189,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.876754 -15.7946793)
111449578,-15.7931298,-47.8896859,3,3,0.008670568466186523,4.2224380357218257e-05,4.528892278671265,21899.338167388265,20.506722688674927,0.07425868287712434,15.579079627990723,3.274544395657931,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8896859 -15.7931298)
114103910,-15.7866876,-47.8807414,3,3,0.008670568466186523,3.9323633503735746e-05,4.528892278671265,2188.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.3226823168610697,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,3,0.008670568466186523,3.6235822734355186e-05,4.528892278671265,22385.32380952381,20.506722688674927,0.07425868287712434,15.579079627990723,3.5969956249328154,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8938029 -15.8006724)
141980694,-15.8080929,-47.9048964,3,3,0.008670568466186523,2.652027475004641e-05,4.528892278671265,13758.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.1672700448790896,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.9048964 -15.8080929)
141980806,-15.8103748,-47.9024619,3,3,0.008670568466186523,1.0,4.528892278671265,2199.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.2480867326687934,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.9024619 -15.8103748)
141980809,-15.8088752,-47.9007588,3,3,0.008670568466186523,2.4597220514081907e-05,4.528892278671265,9669.353030303031,20.506722688674927,0.07425868287712434,15.579079627990723,3.4124060249657227,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.9007588 -15.8088752)
142087751,-15.8112984,-47.8850036,4,3,0.008670568466186523,0.0,4.528892278671265,1101.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.5216642840670827,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8850036 -15.8112984)
142087820,-15.8087062,-47.8827332,3,3,0.008670568466186523,0.16666666666666666,4.528892278671265,3268.0,20.506722688674927,0.07425868287712434,15.579079627990723,3.868225852453052,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8827332 -15.8087062)
142087838,-15.8056951,-47.8801118,3,4,0.008670568466186523,3.065791894046232e-05,4.528892278671265,23865.5,20.506722688674927,0.07425868287712434,15.579079627990723,3.7789452201069573,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8801118 -15.8056951)
142088003,-15.8097618,-47.8839493,4,4,0.008670568466186523,2.971326697370376e-05,4.528892278671265,18972.3833333333,20.506722688674927,0.07425868287712434,15.579079627990723,4.570992571543086,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8839493 -15.8097618)
142089214,-15.8112789,-47.8820894,3,1,0.008670568466186523,0.0,4.528892278671265,1102.0,20.506722688674927,0.07425868287712434,15.579079627990723,1.6678039742221495,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8820894 -15.8112789)
142089370,-15.8106391,-47.8832183,3,2,0.008670568466186523,2.9691211401425178e-05,4.528892278671265,1094.0,20.506722688674927,0.07425868287712434,15.579079627990723,2.539971890500531,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8832183 -15.8106391)
142089422,-15.8093837,-47.8835931,3,3,0.008670568466186523,3.068520052778545e-05,4.528892278671265,19280.383333333302,20.506722688674927,0.07425868287712434,15.579079627990723,3.437230681219863,5.6480488777160645,58.68149971961975,9.008362531661987,,POINT (-47.8835931 -15.8093837)
