osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,geometry
544910094,-15.8060021,-47.8985283,4,4,0.007792472839355469,3.417751802864076e-05,3.810169219970703,24626.557359307357,17.19998836517334,0.06573732495030866,13.05600905418396,4.712819367238037,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8985283 -15.8060021)
544910096,-15.8063506,-47.8988569,4,4,0.007792472839355469,3.530574777573789e-05,3.810169219970703,38215.55735930736,17.19998836517334,0.06573732495030866,13.05600905418396,4.722744784069652,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8988569 -15.8063506)
544910100,-15.8021321,-47.894278,3,3,0.007792472839355469,4.147484550620049e-05,3.810169219970703,47391.843434343486,17.19998836517334,0.06573732495030866,13.05600905418396,3.372579577997969,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.894278 -15.8021321)
544910102,-15.8024283,-47.8934776,3,4,0.007792472839355469,4.1990342221289104e-05,3.810169219970703,70212.0333333333,17.19998836517334,0.06573732495030866,13.05600905418396,3.8013109700096335,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8934776 -15.8024283)
544910110,-15.8017706,-47.8946951,4,4,0.007792472839355469,4.300335426163241e-05,3.810169219970703,40489.07453102452,17.19998836517334,0.06573732495030866,13.05600905418396,4.698280457585185,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8946951 -15.8017706)
544910112,-15.8014316,-47.8943822,4,4,0.007792472839355469,4.229223937407486e-05,3.810169219970703,48342.74119769121,17.19998836517334,0.06573732495030866,13.05600905418396,4.695218632401283,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8943822 -15.8014316)
546248923,-15.8079655,-47.9049018,3,4,0.007792472839355469,3.038405444822557e-05,3.810169219970703,11078.666666666668,17.19998836517334,0.06573732495030866,13.05600905418396,3.220355612433914,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9049018 -15.8079655)
546248925,-15.8081053,-47.9048314,3,3,0.007792472839355469,2.865083230667851e-05,3.810169219970703,12047.5,17.19998836517334,0.06573732495030866,13.05600905418396,3.2756781810917865,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9048314 -15.8081053)
546248927,-15.807633,-47.9051831,3,3,0.007792472839355469,3.121001217190475e-05,3.810169219970703,10531.5,17.19998836517334,0.06573732495030866,13.05600905418396,2.4170411602264092,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9051831 -15.807633)
546248930,-15.8029724,-47.9014626,3,3,0.007792472839355469,3.440564252537416e-05,3.810169219970703,2016.0,17.19998836517334,0.06573732495030866,13.05600905418396,3.9536165447332072,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9014626 -15.8029724)
546279144,-15.8042887,-47.9008298,3,3,0.007792472839355469,3.0437694040299505e-05,3.810169219970703,21684.5,17.19998836517334,0.06573732495030866,13.05600905418396,3.3848457033966826,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9008298 -15.8042887)
546279148,-15.8040491,-47.9010513,3,3,0.007792472839355469,3.0959752321981425e-05,3.810169219970703,21202.5,17.19998836517334,0.06573732495030866,13.05600905418396,3.4290979030465927,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9010513 -15.8040491)
546279150,-15.803969,-47.9009751,3,3,0.007792472839355469,3.0436767615279257e-05,3.810169219970703,2775.666666666667,17.19998836517334,0.06573732495030866,13.05600905418396,3.4074931754470277,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9009751 -15.803969)
546291512,-15.8099228,-47.9030735,4,2,0.007792472839355469,3.1985670419651997e-05,3.810169219970703,16131.666666666668,17.19998836517334,0.06573732495030866,13.05600905418396,2.3919338557050662,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9030735 -15.8099228)
546291576,-15.8080503,-47.9047696,3,3,0.007792472839355469,2.8412319581770656e-05,3.810169219970703,27262.166666666664,17.19998836517334,0.06573732495030866,13.05600905418396,3.2791745828735386,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.9047696 -15.8080503)
546291581,-15.7998264,-47.8966715,4,4,0.007792472839355469,3.756574004507889e-05,3.810169219970703,66039.91536796535,17.19998836517334,0.06573732495030866,13.05600905418396,4.456724271980777,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8966715 -15.7998264)
580023937,-15.7811574,-47.8911846,3,1,0.007792472839355469,0.0,3.810169219970703,1008.0,17.19998836517334,0.06573732495030866,13.05600905418396,1.6449745096774304,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8911846 -15.7811574)
750802391,-15.8072262,-47.895019,1,2,0.007792472839355469,3.334444814938313e-05,3.810169219970703,2009.0,17.19998836517334,0.06573732495030866,13.05600905418396,1.6453807979894766,4.4860475063323975,46.50351047515869,7.0946197509765625,turning_circle,POINT (-47.895019 -15.8072262)
804158899,-15.8055276,-47.8933901,3,3,0.007792472839355469,4.1023957991467015e-05,3.810169219970703,14506.0,17.19998836517334,0.06573732495030866,13.05600905418396,4.016039396464199,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8933901 -15.8055276)
804159506,-15.8033861,-47.8933842,1,2,0.007792472839355469,3.472101663136697e-05,3.810169219970703,2009.0,17.19998836517334,0.06573732495030866,13.05600905418396,1.6447165746333003,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8933842 -15.8033861)
804160059,-15.8032932,-47.8942318,1,2,0.007792472839355469,3.24770225065766e-05,3.810169219970703,2009.0,17.19998836517334,0.06573732495030866,13.05600905418396,1.641450072777134,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8942318 -15.8032932)
804163387,-15.8027525,-47.8941559,1,2,0.007792472839355469,3.24770225065766e-05,3.810169219970703,2009.0,17.19998836517334,0.06573732495030866,13.05600905418396,1.6414500727771344,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8941559 -15.8027525)
804164533,-15.8036649,-47.8945536,3,6,0.007792472839355469,3.356831151393085e-05,3.810169219970703,6021.0,17.19998836517334,0.06573732495030866,13.05600905418396,3.025977328893335,4.4860475063323975,46.50351047515869,7.0946197509765625,,POINT (-47.8945536 -15.8036649)
