osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,ref,geometry
35574856,-22.9237464,-43.1775684,3,3,0.012332677841186523,2.384358607534573e-05,9.464903116226196,46204.07814318037,45.17629408836365,0.2266019049912414,33.757158041000366,3.457155001009938,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1775684 -22.9237464)
35574857,-22.9249087,-43.179602,3,4,0.012332677841186523,2.3723666729929777e-05,9.464903116226196,88305.47061293964,45.17629408836365,0.2266019049912414,33.757158041000366,3.2640253455862713,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.179602 -22.9249087)
35574866,-22.9240681,-43.181524,4,8,0.012332677841186523,2.5247424762674206e-05,9.464903116226196,204041.96921085904,45.17629408836365,0.2266019049912414,33.757158041000366,4.1378163221154445,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.181524 -22.9240681)
35576984,-22.931183,-43.1776484,4,4,0.012332677841186523,2.0500625269070705e-05,9.464903116226196,53734.4767088059,45.17629408836365,0.2266019049912414,33.757158041000366,4.8205291113707,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1776484 -22.931183)
35576986,-22.9297715,-43.1775398,4,4,0.012332677841186523,2.0485086856768273e-05,9.464903116226196,27429.822023809502,45.17629408836365,0.2266019049912414,33.757158041000366,4.524901935459891,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1775398 -22.9297715)
35576987,-22.9282845,-43.1770447,3,3,0.012332677841186523,2.0762826235907232e-05,9.464903116226196,13582.919642857152,45.17629408836365,0.2266019049912414,33.757158041000366,3.5417218037778166,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1770447 -22.9282845)
35576991,-22.9245362,-43.1768694,3,3,0.012332677841186523,2.092356621262528e-05,9.464903116226196,31963.14980158731,45.17629408836365,0.2266019049912414,33.757158041000366,3.517442491665369,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1768694 -22.9245362)
35577095,-22.921972,-43.1770849,4,4,0.012332677841186523,2.5442055718102022e-05,9.464903116226196,74891.01420345863,45.17629408836365,0.2266019049912414,33.757158041000366,4.4894317584115955,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1770849 -22.921972)
35577097,-22.9235834,-43.1774062,3,3,0.012332677841186523,2.4460044517281022e-05,9.464903116226196,27503.94848811315,45.17629408836365,0.2266019049912414,33.757158041000366,3.5800830025069863,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1774062 -22.9235834)
35577403,-22.9254268,-43.1731026,4,4,0.012332677841186523,2.3037228160707704e-05,9.464903116226196,55976.89716367221,45.17629408836365,0.2266019049912414,33.757158041000366,4.5580866803073725,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1731026 -22.9254268)
35577404,-22.9259998,-43.1793536,3,3,0.012332677841186523,2.2867073700578538e-05,9.464903116226196,68614.52578970752,45.17629408836365,0.2266019049912414,33.757158041000366,3.273034383255674,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1793536 -22.9259998)
35577694,-22.9268376,-43.1793384,3,3,0.012332677841186523,2.2397419817237054e-05,9.464903116226196,57068.73800978847,45.17629408836365,0.2266019049912414,33.757158041000366,3.337600170749185,14.341988801956177,130.52177619934082,23.580938816070557,,,POINT (-43.1793384 -22.9268376)
