osmid,y,x,highway,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,ref,geometry
3179725883,-23.223445,-45.8943815,,3,3,0.022820472717285156,1.0897282217814877e-05,28.739319801330566,32701.447037014586,152.87917470932007,0.34779091781414556,102.99371767044067,3.806622947627761,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8943815 -23.223445)
3179725887,-23.2233447,-45.8943467,,3,3,0.022820472717285156,1.094487068635284e-05,28.739319801330566,48213.513922057195,152.87917470932007,0.34779091781414556,102.99371767044067,3.806623584346803,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8943467 -23.2233447)
3179725891,-23.2231021,-45.8944133,,3,4,0.022820472717285156,1.180163806736375e-05,28.739319801330566,130988.48946432851,152.87917470932007,0.34779091781414556,102.99371767044067,3.8026167264587056,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8944133 -23.2231021)
3179725892,-23.2233608,-45.8945199,,3,3,0.022820472717285156,1.119206706286584e-05,28.739319801330566,94254.07217589636,152.87917470932007,0.34779091781414556,102.99371767044067,3.8065639514550647,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8945199 -23.2233608)
3179725893,-23.2233137,-45.8944917,,3,3,0.022820472717285156,1.154907780613718e-05,28.739319801330566,94236.07217589629,152.87917470932007,0.34779091781414556,102.99371767044067,3.8071703249462514,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8944917 -23.2233137)
3179725894,-23.2233567,-45.8942032,,3,4,0.022820472717285156,1.1069538843011801e-05,28.739319801330566,49271.53584859956,152.87917470932007,0.34779091781414556,102.99371767044067,3.783515061405792,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8942032 -23.2233567)
3179792273,-23.2128802,-45.9021216,,3,3,0.022820472717285156,1.0294314450129194e-05,28.739319801330566,58748.219532789146,152.87917470932007,0.34779091781414556,102.99371767044067,3.3797048595384327,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.9021216 -23.2128802)
3179893769,-23.2386103,-45.9201245,motorway_junction,3,1,0.022820472717285156,0.0,28.739319801330566,2786.0,152.87917470932007,0.34779091781414556,102.99371767044067,1.6449076522440649,59.81508946418762,426.7029275894165,77.04175972938538,154,POINT (-45.9201245 -23.2386103)
3179958980,-23.2325732,-45.9145684,,3,3,0.022820472717285156,1.28e-05,28.739319801330566,28938.315458724075,152.87917470932007,0.34779091781414556,102.99371767044067,3.575810750520997,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.9145684 -23.2325732)
3179958981,-23.2326707,-45.9146989,,3,3,0.022820472717285156,1.0611318031812732e-05,28.739319801330566,117309.2681450708,152.87917470932007,0.34779091781414556,102.99371767044067,3.394732238246817,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.9146989 -23.2326707)
3179958997,-23.2265631,-45.9077975,,3,3,0.022820472717285156,1.422293020808147e-05,28.739319801330566,464360.80142121477,152.87917470932007,0.34779091781414556,102.99371767044067,3.454606819845929,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.9077975 -23.2265631)
3179959002,-23.2159183,-45.8963705,,3,3,0.022820472717285156,1.4878074182077872e-05,28.739319801330566,496410.27361175546,152.87917470932007,0.34779091781414556,102.99371767044067,3.2680296212382327,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8963705 -23.2159183)
3179959016,-23.2169804,-45.8964636,,3,3,0.022820472717285156,1.5249946625186813e-05,28.739319801330566,433923.83549195284,152.87917470932007,0.34779091781414556,102.99371767044067,3.470138129628787,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8964636 -23.2169804)
3179970423,-23.196169,-45.8734504,motorway_junction,3,3,0.022820472717285156,1.0,28.739319801330566,5579.0,152.87917470932007,0.34779091781414556,102.99371767044067,3.146349858227152,59.81508946418762,426.7029275894165,77.04175972938538,147,POINT (-45.8734504 -23.196169)
3179970425,-23.193585,-45.8680391,motorway_junction,3,2,0.022820472717285156,1.3587325742547352e-05,28.739319801330566,5545.0,152.87917470932007,0.34779091781414556,102.99371767044067,2.338901911628816,59.81508946418762,426.7029275894165,77.04175972938538,146,POINT (-45.8680391 -23.193585)
3179970426,-23.1977746,-45.876045,motorway_junction,3,3,0.022820472717285156,0.3333333333333333,28.739319801330566,7871.035964035964,152.87917470932007,0.34779091781414556,102.99371767044067,3.277619325275565,59.81508946418762,426.7029275894165,77.04175972938538,148,POINT (-45.876045 -23.1977746)
3179970427,-23.2082789,-45.8874554,motorway_junction,3,3,0.022820472717285156,1.411930815390046e-05,28.739319801330566,363597.12333088985,152.87917470932007,0.34779091781414556,102.99371767044067,3.2615634108920104,59.81508946418762,426.7029275894165,77.04175972938538,149,POINT (-45.8874554 -23.2082789)
3179970428,-23.2193674,-45.8994403,motorway_junction,3,3,0.022820472717285156,9.817010916516139e-06,28.739319801330566,121974.05232060085,152.87917470932007,0.34779091781414556,102.99371767044067,3.261303877097927,59.81508946418762,426.7029275894165,77.04175972938538,151,POINT (-45.8994403 -23.2193674)
3179970429,-23.2283768,-45.909191,motorway_junction,3,3,0.022820472717285156,1.0087763542822556e-05,28.739319801330566,399747.32668910315,152.87917470932007,0.34779091781414556,102.99371767044067,3.344905667490207,59.81508946418762,426.7029275894165,77.04175972938538,152,POINT (-45.909191 -23.2283768)
3179970430,-23.2234653,-45.9043517,motorway_junction,3,3,0.022820472717285156,1.1193069251519459e-05,28.739319801330566,148428.90219039144,152.87917470932007,0.34779091781414556,102.99371767044067,3.3913077044344977,59.81508946418762,426.7029275894165,77.04175972938538,152,POINT (-45.9043517 -23.2234653)
3185540966,-23.2349153,-45.8761491,,3,3,0.022820472717285156,1.3784737538597265e-05,28.739319801330566,67208.364826591,152.87917470932007,0.34779091781414556,102.99371767044067,3.374740386470327,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8761491 -23.2349153)
3185540969,-23.2345774,-45.8770714,,3,4,0.022820472717285156,1.2341260536351183e-05,28.739319801330566,11102.0,152.87917470932007,0.34779091781414556,102.99371767044067,3.94606665559063,59.81508946418762,426.7029275894165,77.04175972938538,,POINT (-45.8770714 -23.2345774)
