osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,ref,geometry
35574856,-22.9237464,-43.1775684,3,3,0.00815272331237793,3.746440881162895e-05,4.263564586639404,8515.761904761905,18.696817874908447,0.11339273396469657,14.303109407424927,3.4506386279233303,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1775684 -22.9237464)
35574857,-22.9249087,-43.179602,3,4,0.00815272331237793,3.691262780997379e-05,4.263564586639404,9320.228571428564,18.696817874908447,0.11339273396469657,14.303109407424927,3.091439363693053,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.179602 -22.9249087)
35574866,-22.9240681,-43.181524,4,8,0.00815272331237793,3.9331366764995083e-05,4.263564586639404,68680.4885830642,18.696817874908447,0.11339273396469657,14.303109407424927,4.136001468396309,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.181524 -22.9240681)
35576991,-22.9245362,-43.1768694,3,3,0.00815272331237793,1.0,4.263564586639404,1448.4666666666667,18.696817874908447,0.11339273396469657,14.303109407424927,3.204860118959865,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1768694 -22.9245362)
35577095,-22.921972,-43.1770849,4,4,0.00815272331237793,4.054821182385857e-05,4.263564586639404,40049.510084335605,18.696817874908447,0.11339273396469657,14.303109407424927,4.489429222057251,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1770849 -22.921972)
35577097,-22.9235834,-43.1774062,3,3,0.00815272331237793,3.888478438387059e-05,4.263564586639404,6247.961904761902,18.696817874908447,0.11339273396469657,14.303109407424927,3.5799555884234384,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1774062 -22.9235834)
35577403,-22.9254268,-43.1731026,4,3,0.00815272331237793,3.576282097131822e-05,4.263564586639404,5619.787878787878,18.696817874908447,0.11339273396469657,14.303109407424927,3.2204908341163128,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1731026 -22.9254268)
35577404,-22.9259998,-43.1793536,3,1,0.00815272331237793,3.551893159053776e-05,4.263564586639404,1063.0,18.696817874908447,0.11339273396469657,14.303109407424927,1.6432334532387003,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1793536 -22.9259998)
35577987,-22.9253226,-43.1785296,3,3,0.00815272331237793,0.25,4.263564586639404,6.0,18.696817874908447,0.11339273396469657,14.303109407424927,2.2865148387125553,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1785296 -22.9253226)
146181112,-22.918872,-43.1740796,3,3,0.00815272331237793,3.615590425916552e-05,4.263564586639404,52244.49389625953,18.696817874908447,0.11339273396469657,14.303109407424927,3.264237145945245,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1740796 -22.918872)
146181676,-22.9120813,-43.1721014,3,3,0.00815272331237793,3.5510102624196586e-05,4.263564586639404,12356.257142857145,18.696817874908447,0.11339273396469657,14.303109407424927,3.330915386013496,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1721014 -22.9120813)
146187485,-22.9189564,-43.1745579,3,3,0.00815272331237793,3.754176521380035e-05,4.263564586639404,65643.51770578341,18.696817874908447,0.11339273396469657,14.303109407424927,3.2775923264462756,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1745579 -22.9189564)
146187494,-22.9233682,-43.17124,3,3,0.00815272331237793,3.419387929560609e-05,4.263564586639404,2129.0,18.696817874908447,0.11339273396469657,14.303109407424927,3.148547549251644,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.17124 -22.9233682)
146422286,-22.9068053,-43.1957247,3,3,0.00815272331237793,4.2075146211133085e-05,4.263564586639404,10522.898407148405,18.696817874908447,0.11339273396469657,14.303109407424927,3.5159762518851423,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1957247 -22.9068053)
147443974,-22.9304822,-43.1861643,1,1,0.00815272331237793,0.0,4.263564586639404,1047.0,18.696817874908447,0.11339273396469657,14.303109407424927,1.6454054120571162,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1861643 -22.9304822)
148434691,-22.9011273,-43.1791939,5,5,0.00815272331237793,4.0381198513971895e-05,4.263564586639404,73523.50383887181,18.696817874908447,0.11339273396469657,14.303109407424927,6.023264354215487,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1791939 -22.9011273)
148442381,-22.9067893,-43.1966936,3,4,0.00815272331237793,4.615526631588664e-05,4.263564586639404,50096.40793650802,18.696817874908447,0.11339273396469657,14.303109407424927,3.4846289526459966,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1966936 -22.9067893)
148446284,-22.9070934,-43.1965696,3,4,0.00815272331237793,4.403540446519001e-05,4.263564586639404,10691.898407148405,18.696817874908447,0.11339273396469657,14.303109407424927,3.5056967888422994,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1965696 -22.9070934)
148448813,-22.907241,-43.1980771,3,4,0.00815272331237793,4.403540446519001e-05,4.263564586639404,43266.18174603184,18.696817874908447,0.11339273396469657,14.303109407424927,3.47649982078091,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1980771 -22.907241)
148449036,-22.9040915,-43.1875968,3,3,0.00815272331237793,4.2817383857846286e-05,4.263564586639404,19976.213705162423,18.696817874908447,0.11339273396469657,14.303109407424927,3.6080184418703993,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1875968 -22.9040915)
148450225,-22.9038796,-43.1863939,3,3,0.00815272331237793,4.35976806033919e-05,4.263564586639404,73085.71559566751,18.696817874908447,0.11339273396469657,14.303109407424927,3.6692863426801696,4.503017902374268,52.950966358184814,7.301803827285767,traffic_signals,,POINT (-43.1863939 -22.9038796)
148453426,-22.9063018,-43.195555,3,3,0.00815272331237793,4.4976162633804086e-05,4.263564586639404,31190.468807512807,18.696817874908447,0.11339273396469657,14.303109407424927,3.3118807561548684,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.195555 -22.9063018)
148454300,-22.9028467,-43.1842005,3,3,0.00815272331237793,4.2799058420714746e-05,4.263564586639404,65979.52185923643,18.696817874908447,0.11339273396469657,14.303109407424927,3.4891866559876688,4.503017902374268,52.950966358184814,7.301803827285767,crossing,,POINT (-43.1842005 -22.9028467)
148456112,-22.9030033,-43.1852157,3,3,0.00815272331237793,4.1751910149889354e-05,4.263564586639404,6058.154604935423,18.696817874908447,0.11339273396469657,14.303109407424927,3.507429858113892,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1852157 -22.9030033)
148456212,-22.9080703,-43.2010545,3,3,0.00815272331237793,4.4171562348160254e-05,4.263564586639404,2493.516666666667,18.696817874908447,0.11339273396469657,14.303109407424927,3.0865416844177984,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.2010545 -22.9080703)
148458099,-22.9084336,-43.2017672,3,2,0.00815272331237793,4.366049598323437e-05,4.263564586639404,1064.0,18.696817874908447,0.11339273396469657,14.303109407424927,2.393952292743939,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.2017672 -22.9084336)
151037455,-22.9257304,-43.1765909,4,2,0.00815272331237793,0.0,4.263564586639404,1056.0,18.696817874908447,0.11339273396469657,14.303109407424927,2.3953351029743803,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1765909 -22.9257304)
153834344,-22.9203625,-43.1938876,3,3,0.00815272331237793,1.0,4.263564586639404,2093.0,18.696817874908447,0.11339273396469657,14.303109407424927,3.1740659516305394,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1938876 -22.9203625)
153834358,-22.9108955,-43.1960924,3,3,0.00815272331237793,3.640467436018785e-05,4.263564586639404,57784.18233594334,18.696817874908447,0.11339273396469657,14.303109407424927,3.379506585903935,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1960924 -22.9108955)
153837668,-22.9186876,-43.1945997,3,3,0.00815272331237793,4.522635792139659e-05,4.263564586639404,65487.18864148006,18.696817874908447,0.11339273396469657,14.303109407424927,3.323825445525803,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1945997 -22.9186876)
153837674,-22.9198993,-43.1943154,3,3,0.00815272331237793,4.317789291882556e-05,4.263564586639404,65469.188641480076,18.696817874908447,0.11339273396469657,14.303109407424927,3.1449417468624725,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1943154 -22.9198993)
161889868,-22.9065846,-43.1977033,3,3,0.00815272331237793,4.338583018786064e-05,4.263564586639404,51703.04065665571,18.696817874908447,0.11339273396469657,14.303109407424927,3.2632620207081127,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1977033 -22.9065846)
161891241,-22.906573,-43.1977882,3,3,0.00815272331237793,4.426933463190048e-05,4.263564586639404,97114.69415394255,18.696817874908447,0.11339273396469657,14.303109407424927,3.283200584105733,4.503017902374268,52.950966358184814,7.301803827285767,,,POINT (-43.1977882 -22.906573)
