osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,ref,geometry
587993,-23.55821,-46.6382561,3,3,0.013224601745605469,1.9281568748433373e-05,10.652514696121216,84934.68113882243,51.9928994178772,0.11554847463644355,37.38599896430969,3.260925701792986,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,3,0.013224601745605469,1.8422991893883568e-05,10.652514696121216,100663.33850636298,51.9928994178772,0.11554847463644355,37.38599896430969,3.471191332212026,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,4,0.013224601745605469,2.0265067077372025e-05,10.652514696121216,119024.23408622855,51.9928994178772,0.11554847463644355,37.38599896430969,4.334598716272084,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944551,-23.538894,-46.6513228,3,4,0.013224601745605469,1.9400900201769363e-05,10.652514696121216,6044.659090909091,51.9928994178772,0.11554847463644355,37.38599896430969,3.399823743563676,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,4,0.013224601745605469,2.0052135552436335e-05,10.652514696121216,5026.5,51.9928994178772,0.11554847463644355,37.38599896430969,3.454389588134352,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6517752 -23.5403107)
25870836,-23.5635176,-46.6113811,1,1,0.013224601745605469,0.0,10.652514696121216,1673.0,51.9928994178772,0.11554847463644355,37.38599896430969,1.6505167273894519,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6113811 -23.5635176)
25871539,-23.5560493,-46.6222841,3,3,0.013224601745605469,1.9867286526006278e-05,10.652514696121216,60031.831500159395,51.9928994178772,0.11554847463644355,37.38599896430969,3.3119142826395693,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,3,0.013224601745605469,1.0,10.652514696121216,3345.0,51.9928994178772,0.11554847463644355,37.38599896430969,3.355511432976971,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,4,0.013224601745605469,1.9003458629470563e-05,10.652514696121216,101366.80684613132,51.9928994178772,0.11554847463644355,37.38599896430969,4.945177158199369,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,3,0.013224601745605469,1.960630538781272e-05,10.652514696121216,118774.31741956186,51.9928994178772,0.11554847463644355,37.38599896430969,3.9374902730509187,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,3,0.013224601745605469,1.7881730236217656e-05,10.652514696121216,68311.02765581012,51.9928994178772,0.11554847463644355,37.38599896430969,3.3911664832539548,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,3,0.013224601745605469,2.6111705877744993e-05,10.652514696121216,239609.9212522008,51.9928994178772,0.11554847463644355,37.38599896430969,3.260588185301722,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,3,0.013224601745605469,2.729779160865886e-05,10.652514696121216,239615.92125220076,51.9928994178772,0.11554847463644355,37.38599896430969,3.2685259033416596,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,3,0.013224601745605469,2.629433882885015e-05,10.652514696121216,149217.76177096047,51.9928994178772,0.11554847463644355,37.38599896430969,3.4394987816429254,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,3,0.013224601745605469,2.3437866216659635e-05,10.652514696121216,110106.42038631115,51.9928994178772,0.11554847463644355,37.38599896430969,3.362808589133019,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,3,0.013224601745605469,2.791892344631191e-05,10.652514696121216,145667.7611606926,51.9928994178772,0.11554847463644355,37.38599896430969,3.3884648007288902,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,4,0.013224601745605469,2.6109660574412533e-05,10.652514696121216,31697.201326712628,51.9928994178772,0.11554847463644355,37.38599896430969,5.099306427875541,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,4,0.013224601745605469,2.6518164942985945e-05,10.652514696121216,198320.68623878533,51.9928994178772,0.11554847463644355,37.38599896430969,6.0440507907217595,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,3,0.013224601745605469,2.241097241209296e-05,10.652514696121216,49843.4060283567,51.9928994178772,0.11554847463644355,37.38599896430969,3.453936806847248,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,3,0.013224601745605469,2.3282887077997672e-05,10.652514696121216,49849.4060283567,51.9928994178772,0.11554847463644355,37.38599896430969,3.996081269984468,15.830706357955933,145.2532660961151,24.18094778060913,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,4,0.013224601745605469,2.2566231890598907e-05,10.652514696121216,53774.53246168652,51.9928994178772,0.11554847463644355,37.38599896430969,5.019637638157448,15.830706357955933,145.2532660961151,24.18094778060913,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,4,0.013224601745605469,2.1572180516006558e-05,10.652514696121216,41521.02423657822,51.9928994178772,0.11554847463644355,37.38599896430969,4.950222847490871,15.830706357955933,145.2532660961151,24.18094778060913,crossing,,POINT (-46.6257805 -23.5316319)
