osmid,y,x,highway,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,ref,geometry
884411098,-23.2058738,-45.9061609,traffic_signals,5,5,0.01053762435913086,2.784817176752346e-05,6.534125089645386,121669.0975024975,30.18308448791504,0.09896802352262023,22.847580671310425,6.997631805468962,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.9061609 -23.2058738)
934161191,-23.2238343,-45.8991355,,3,6,0.01053762435913086,3.2913142217687525e-05,6.534125089645386,43541.250508368605,30.18308448791504,0.09896802352262023,22.847580671310425,3.2935804761469436,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8991355 -23.2238343)
934161195,-23.2238331,-45.8982195,,3,6,0.01053762435913086,3.143962020938787e-05,6.534125089645386,7398.170702125196,30.18308448791504,0.09896802352262023,22.847580671310425,3.4541143972271606,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8982195 -23.2238331)
934163157,-23.2236371,-45.9009728,,3,3,0.01053762435913086,3.391785096496286e-05,6.534125089645386,145492.96151819619,30.18308448791504,0.09896802352262023,22.847580671310425,3.381816266759904,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.9009728 -23.2236371)
970047010,-23.2293837,-45.8844765,traffic_signals,4,6,0.01053762435913086,3.0412700343663514e-05,6.534125089645386,89289.91959948442,30.18308448791504,0.09896802352262023,22.847580671310425,4.490699918587164,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8844765 -23.2293837)
970047065,-23.2320334,-45.8927507,,3,4,0.01053762435913086,2.9581422866439876e-05,6.534125089645386,91400.07287179967,30.18308448791504,0.09896802352262023,22.847580671310425,3.383218131225478,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8927507 -23.2320334)
970047128,-23.229012,-45.8911766,traffic_signals,3,6,0.01053762435913086,2.7802491103202846e-05,6.534125089645386,23688.558388911537,30.18308448791504,0.09896802352262023,22.847580671310425,3.38034750795367,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8911766 -23.229012)
970047153,-23.2251407,-45.8857229,,3,4,0.01053762435913086,3.078438615933998e-05,6.534125089645386,59314.462268186515,30.18308448791504,0.09896802352262023,22.847580671310425,3.4037098511719996,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8857229 -23.2251407)
970047171,-23.2252522,-45.8858854,,4,6,0.01053762435913086,3.1771247021445594e-05,6.534125089645386,66840.0564736483,30.18308448791504,0.09896802352262023,22.847580671310425,4.434343759816704,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8858854 -23.2252522)
970387137,-23.2221904,-45.8891946,traffic_signals,4,4,0.01053762435913086,3.068143466388488e-05,6.534125089645386,34310.08709460489,30.18308448791504,0.09896802352262023,22.847580671310425,4.950788662091462,8.528869152069092,84.75995469093323,12.773868322372437,,POINT (-45.8891946 -23.2221904)
