osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,geometry
510135655,-15.7769078,-47.8801728,3,3,0.021647930145263672,1.0623267079557648e-05,27.483883380889893,8226.0,144.79603481292725,0.30511485362166696,96.55758380889893,4.0823739681779045,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8801728 -15.7769078)
510135660,-15.7770698,-47.8800769,4,6,0.021647930145263672,1.1103955228852518e-05,27.483883380889893,440051.31813432876,144.79603481292725,0.30511485362166696,96.55758380889893,5.301373961126781,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8800769 -15.7770698)
510135661,-15.7771079,-47.880374,4,6,0.021647930145263672,1.1316825856683717e-05,27.483883380889893,633630.2288846885,144.79603481292725,0.30511485362166696,96.55758380889893,5.018839242324987,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.880374 -15.7771079)
510135662,-15.7771685,-47.8813966,4,6,0.021647930145263672,1.1075423634954038e-05,27.483883380889893,393714.19091478,144.79603481292725,0.30511485362166696,96.55758380889893,5.018282901835734,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8813966 -15.7771685)
510135663,-15.7771976,-47.8816822,4,6,0.021647930145263672,1.0792259791277696e-05,27.483883380889893,327051.279786949,144.79603481292725,0.30511485362166696,96.55758380889893,5.30136670146615,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8816822 -15.7771976)
510135665,-15.7774289,-47.8843279,3,3,0.021647930145263672,8.991188635137566e-06,27.483883380889893,240443.88051948062,144.79603481292725,0.30511485362166696,96.55758380889893,3.8091914154948294,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8843279 -15.7774289)
510135667,-15.7770312,-47.8845028,3,4,0.021647930145263672,9.672770184653182e-06,27.483883380889893,297884.7970418472,144.79603481292725,0.30511485362166696,96.55758380889893,3.7834932901074554,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8845028 -15.7770312)
510135671,-15.7777851,-47.8844331,3,4,0.021647930145263672,9.233866127408885e-06,27.483883380889893,119612.24841269891,144.79603481292725,0.30511485362166696,96.55758380889893,3.783493289717001,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.8844331 -15.7777851)
510135698,-15.7773996,-47.881581,3,3,0.021647930145263672,1.0190252004932081e-05,27.483883380889893,8226.0,144.79603481292725,0.30511485362166696,96.55758380889893,4.086122912244802,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.881581 -15.7773996)
510135711,-15.7770066,-47.881593,3,3,0.021647930145263672,1.048283959158857e-05,27.483883380889893,8224.0,144.79603481292725,0.30511485362166696,96.55758380889893,4.082373896446504,60.41405725479126,431.00386810302734,90.75770258903503,,POINT (-47.881593 -15.7770066)
