osmid,y,x,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,highway,ref,geometry
21638845,41.3700925,2.187743,3,4,0.023800373077392578,7.881773399014778e-06,33.56398630142212,54502.0,186.9120955467224,0.34516008361807915,121.96057438850403,3.831822785787377,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.187743 41.3700925)
21638855,41.3749826,2.1888306,3,4,0.023800373077392578,8.073566336457804e-06,33.56398630142212,60538.0,186.9120955467224,0.34516008361807915,121.96057438850403,3.802111723080029,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,3,0.023800373077392578,8.939666192864358e-06,33.56398630142212,57308.0,186.9120955467224,0.34516008361807915,121.96057438850403,3.482499991256094,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,4,0.023800373077392578,9.178690751551199e-06,33.56398630142212,176643.94089237295,186.9120955467224,0.34516008361807915,121.96057438850403,3.371866642942016,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1880402 41.3780115)
21638865,41.3767732,2.1906313,1,1,0.023800373077392578,0.0,33.56398630142212,3041.0,186.9120955467224,0.34516008361807915,121.96057438850403,1.6504616357029254,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,6,0.023800373077392578,8.319675199880196e-06,33.56398630142212,69599.1802370472,186.9120955467224,0.34516008361807915,121.96057438850403,5.196022939374519,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,5,0.023800373077392578,7.771517388770157e-06,33.56398630142212,13378.056420188213,186.9120955467224,0.34516008361807915,121.96057438850403,3.3548756551591983,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,6,0.023800373077392578,7.6820846104799e-06,33.56398630142212,46669.209206206244,186.9120955467224,0.34516008361807915,121.96057438850403,5.582478166450418,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,4,0.023800373077392578,7.719384919409621e-06,33.56398630142212,24188.816211640187,186.9120955467224,0.34516008361807915,121.96057438850403,4.868238487603868,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,4,0.023800373077392578,7.782706825433886e-06,33.56398630142212,51678.28833379309,186.9120955467224,0.34516008361807915,121.96057438850403,4.725665183258089,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,4,0.023800373077392578,8.11576324695456e-06,33.56398630142212,19746.426106110364,186.9120955467224,0.34516008361807915,121.96057438850403,4.945369522165517,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,3,0.023800373077392578,9.908347783007184e-06,33.56398630142212,46282.53379819223,186.9120955467224,0.34516008361807915,121.96057438850403,3.4889503129305965,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,4,0.023800373077392578,1.023929226011898e-05,33.56398630142212,285704.33545010013,186.9120955467224,0.34516008361807915,121.96057438850403,5.5372954497818085,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,3,0.023800373077392578,9.17944904946805e-06,33.56398630142212,531803.9931266543,186.9120955467224,0.34516008361807915,121.96057438850403,3.332988194360263,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,3,0.023800373077392578,9.441533305008734e-06,33.56398630142212,531795.9931266543,186.9120955467224,0.34516008361807915,121.96057438850403,3.28507313626803,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,3,0.023800373077392578,9.62992209393026e-06,33.56398630142212,416725.8272436691,186.9120955467224,0.34516008361807915,121.96057438850403,3.2889310517502883,80.17675995826721,532.3830733299255,101.50974655151367,,,POINT (2.1774317 41.3755381)
