osmid,y,x,highway,street_count,dc,time-dc,cc,time-cc,bc,time-bc,eff,time-eff,sub,time-sub,time-all,time-com,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,2,0.02730870246887207,6.98558175924891e-06,43.47484493255615,13914.0,246.27157473564148,0.3591600220487413,157.63522672653198,2.598601104938911,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,3,0.02730870246887207,9.039139473922083e-06,43.47484493255615,467904.4043142365,246.27157473564148,0.3591600220487413,157.63522672653198,3.2645996224365876,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,4,0.02730870246887207,9.014856483484784e-06,43.47484493255615,44668.0,246.27157473564148,0.3591600220487413,157.63522672653198,5.403791958257418,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,4,0.02730870246887207,8.776780150434011e-06,43.47484493255615,83865.50444817069,246.27157473564148,0.3591600220487413,157.63522672653198,5.133969050566003,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,3,0.02730870246887207,1.0228086325048583e-05,43.47484493255615,1045029.6818973897,246.27157473564148,0.3591600220487413,157.63522672653198,3.471594435245671,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,4,0.02730870246887207,9.143442323165825e-06,43.47484493255615,234307.9230452659,246.27157473564148,0.3591600220487413,157.63522672653198,4.334600015009986,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,3,0.02730870246887207,1.0105501434981203e-05,43.47484493255615,34137.0,246.27157473564148,0.3591600220487413,157.63522672653198,4.122082301690439,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,3,0.02730870246887207,6.736910183513433e-06,43.47484493255615,51495.12547730045,246.27157473564148,0.3591600220487413,157.63522672653198,3.264556994294072,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,3,0.02730870246887207,6.1648480364959005e-06,43.47484493255615,35022.41666666667,246.27157473564148,0.3591600220487413,157.63522672653198,3.2677337350058644,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,4,0.02730870246887207,7.770430404140085e-06,43.47484493255615,191930.293170642,246.27157473564148,0.3591600220487413,157.63522672653198,4.735976489813165,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,6,0.02730870246887207,7.72887119836148e-06,43.47484493255615,57993.49051904105,246.27157473564148,0.3591600220487413,157.63522672653198,4.729045013381824,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,4,0.02730870246887207,8.29077402666313e-06,43.47484493255615,37702.06437742518,246.27157473564148,0.3591600220487413,157.63522672653198,4.604611299954666,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,4,0.02730870246887207,8.634087376964255e-06,43.47484493255615,12575.29240814965,246.27157473564148,0.3591600220487413,157.63522672653198,3.608001436627169,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,5,0.02730870246887207,8.852534480621802e-06,43.47484493255615,21083.548127463575,246.27157473564148,0.3591600220487413,157.63522672653198,4.686502236252813,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,3,0.02730870246887207,8.591434339963057e-06,43.47484493255615,17988.559206897404,246.27157473564148,0.3591600220487413,157.63522672653198,3.75972647014462,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,4,0.02730870246887207,8.647526807333103e-06,43.47484493255615,14865.489762453,246.27157473564148,0.3591600220487413,157.63522672653198,4.875272766100314,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,4,0.02730870246887207,8.884861085196932e-06,43.47484493255615,87676.36733178112,246.27157473564148,0.3591600220487413,157.63522672653198,4.862050861516148,111.20206022262573,704.4352579116821,137.0537838935852,,POINT (-46.6552234 -23.5477074)
